latitude,longitude,rating
31.0816281,-97.4129784,0
10.4050788,-71.4478784,4
39.0289541,-77.0750414,4.4
43.6564616,-70.2601789,3
29.754874,-95.362559,3.4
38.9081267,-77.0349044,0
41.6846856,-71.5535499,4.1
33.6788204,-117.9082574,4.3
39.7418749,-105.5149899,4.4
24.6558341,116.1751772,5
42.3607091,-71.2002563,4.6
26.120097,-98.196192,4.6
36.6441466,-87.4362679,4
40.7707936,-73.9663556,4.3
38.9216691,-76.8462779,4.1
29.5098598,-98.3866309,3.7
40.82982,-75.0776747,0
31.7884234,-97.5798989,0
26.2652783,-98.2201631,4.1
26.3187489,-80.1048341,0
29.3563599,-98.4825419,4.2
33.6217944,-96.4107532,0
32.848464,-97.07787,0
40.5069019,-106.908864,0
32.1328,-111.0265,3.7
40.8593441,-99.9847496,0
33.570967,-117.700511,0
39.884464,-104.9491462,3.4
24.561639,112.425714,3.4
26.7893923,-80.090437,0
42.3629045,-71.055084,4.4
38.9148075,-77.0180766,3
26.1585032,-80.1331555,4.2
39.9630022,-75.1641622,4.9
31.5489192,-97.1249353,3.9
40.3025733,-79.522962,4.2
38.917186,-77.0282566,3.6
40.7235897,-73.9505016,4.9
39.38111,-97.1684806,0
32.9403864,-97.1194179,4.2
30.4112248,-97.6750824,3.3
10.5150652,-66.8986239,0
35.136865,-89.993905,4
30.4453632,-97.7446205,4
26.1945372,-98.2682703,3.8
29.0413424,-95.4468664,4.6
40.4769321,-79.6367546,0
25.8985745,-80.2331692,0
39.3647281,-99.8420649,0
32.7974942,-96.8257517,0
39.570549,-104.861605,4.8
32.7994044,-115.5714997,0
26.283045,-98.2824399,0
32.845932,-96.850527,0
29.724564,-95.509553,0
10.4799655,-66.9405555,4.3
40.7084728,-73.6268993,0
1.2782835,103.8457238,4.5
38.849672,-76.9265261,0
41.188186,-73.1592067,4
1.2756668,103.8423611,3.4
41.699078,-71.460423,4
40.232632,-74.286293,0
40.7414699,-73.9809588,4.2
29.872615,-97.94004,2.8
30.4031146,-95.6996694,0
