name,latitude,longitude,rating
Woodlands Vegan,38.9278469,-77.0232668,0
Watermill Express,32.3271466,-106.7828597,0
Double Eagle,32.2745284,-106.795189,0
Folks Kitchen - Hiram,33.887311,-84.745483,0
Eastern Carryout,38.9105075,-77.0092893,1
America's Best Wings,38.8454514,-76.997472,1
Mulligan's Catering,46.878785,-102.812022,1
P's Pizza House,42.784991,-96.1780066,1
Williston Truck Facility,48.1930982,-103.6570001,1
Don's Rainbow Drive-In,39.1195938,-100.8497807,1
SUBWAY¥Ô Restaurants,38.4725808,-100.9072256,1
Mohave Engineering Associates Inc.,47.802904,-103.2829348,1
Elbow Room,42.4685706,-73.202335,1
Brookhouse,42.4924275,-73.202378,1
Heart-The Desert Pistachios & Wines,32.2743845,-106.7951162,1
Gray Brothers Dairy,48.3243195,-102.3900298,1
Kroger,36.6249914,-88.3128451,1
Pamukkale Kuruyemis,37.5705365,29.2778397,1
Adem Pide,41.010025,39.612838,1
Seventh Street Snack Pte. Ltd.,1.2754779,103.8443243,1.2
Qiaohong Restaurant,25.318419,113.7415401,1.2
Pizza Hut,46.8785945,-102.8113852,1.99
Ingles Markets,35.915425,-82.074477,1.99
Adil Market,38.263634,39.75809,1.99
KoChix Chicken,38.9137457,-77.0163743,2
Mellon Convenience Store,38.8454366,-76.9974588,2
Cooley Farms Inc,38.4783578,-100.9041889,2
Atwoods,35.5021519,-98.9889657,2
Sam's Greek Cafe,36.6422975,-87.4358357,2
Four Brothers Pizza Inn,42.2040168,-73.3462856,2
Shiro Sushi & Hibachi,42.2042364,-73.3471784,2
Parsell Farms,39.112251,-90.260034,2
The Pit Stop,46.9055068,-102.791327,2
Variety Marketplace,48.91339,-103.295448,2
FARM COUNTRY SOUP,42.09896,-73.2321149,2
EnergyXchange,35.929782,-82.181661,2
ATM,42.5420944,-96.3586445,2
Trilobite Testing,37.7052533,-98.7413929,2
Farm Enterprise,40.9750352,-84.6598248,2
Brian Roorda Llc,42.9824613,-96.1423138,2
Charlie's Wine & Spirits,42.5109101,-96.420156,2
Cash Wise Foods,48.3061144,-102.4002324,2
Java City Cafe,35.3128206,-83.1795687,2
Steward Farms,37.6833704,-88.0276915,2
KFC,38.901292,-90.049705,2
DQ Grill & Chill Restaurant,38.9011484,-90.0504503,2
